filename,percentage,patch_1,patch_2,patch_3,patch_4,patch_5,patch_6,patch_7,patch_8,patch_9
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-203000.netcdf,0.08545532879818594,186.0,115.0625,466.0,195.0,296.0,248.75,153.125,464.1875,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-204000.netcdf,0.0839718820861678,193.0,132.0,398.125,200.0,329.0,282.0625,268.125,567.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-205000.netcdf,0.08428730158730159,194.25,138.8125,285.0625,205.0,387.0,292.4375,312.125,611.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-210000.netcdf,0.0829562358276644,207.3125,133.0,264.125,212.0,413.25,273.5,371.0625,718.0,1.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-211000.netcdf,0.08309478458049886,240.0,164.0,237.0,196.0,441.0,246.5625,382.0,732.0,1.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-212000.netcdf,0.08292086167800454,248.25,193.3125,271.375,157.625,612.125,238.375,349.0,803.0,1.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-213000.netcdf,0.08188299319727892,256.875,223.5,278.75,209.1875,698.125,239.4375,296.1875,843.0,1.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-214000.netcdf,0.08066757369614512,305.0,246.0,273.0625,249.1875,733.1875,226.1875,238.1875,870.0,2.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-215000.netcdf,0.07954739229024943,335.0,255.125,309.25,261.625,698.9375,178.0,207.1875,790.0,2.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-220000.netcdf,0.07794444444444444,348.0,240.0625,422.1875,256.6875,596.75,93.0625,142.1875,709.75,1.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-190000.netcdf,0.0655124716553288,143.0,144.0625,160.5,317.1875,413.0,256.0,456.0,328.25,107.125
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-191000.netcdf,0.06648503401360545,173.9375,156.0,157.0,158.0,424.0,281.0,439.25,175.1875,86.0
